empty,field_opp_no,field_opp_primary_at,field_opp_primary_vt,field_opp_source,field_opp_ideation_date,field_opp_context_field,field_opp_theme,field_opp_description,field_opp_tcv_range,field_opp_tcv_est,field_opp_stakeholder,field_opp_decision_maker,field_opp_potential_competitor,field_opp_comments
,70,Conduent,TMT,Birlasoft,2/5/2019,Commercial Healthcare,Migration from MIDAS to MIDAS Cloud,Migration from MIDAS to MIDAS cloud to generate higher revenue share by increasing fees on support functions; Infosys has failed to deliver in the past,4-Mar,3,"Giri Varadan, Director, Healthcare Provider IT","Kalyan Peri, VP, Technology Services",T2/3 vendors,
,71,Conduent,TMT,Birlasoft,2/5/2019,Commercial Healthcare,Digitization of SFDC,"Digitization and transformation of SFDC in ""Health at Work"" platform to reduce paper-work & deliver orders in a timely manner",4-Mar,3,"Harika Erdemir, Director, Payor IT","Kalyan Peri, VP, Technology Services",Deloitte,
,72,Conduent,TMT,Birlasoft,2/5/2019,Commercial Healthcare,Clinical Trial Recruitment,"Healthcare hot spotting (advanced analytics) to identify patients for clinical trials (review, selection, onboarding) and reducing drop-out; Amgen and Bear are the two major vendors interested",4-Feb,2,"Harika Erdemir, Director, Healthcare Payor IT","Kalyan Peri, VP, Technology Services","Infosys, HCL",
,73,Conduent,TMT,Birlasoft,2/5/2019,HRS,Artificial Intelligence,Artificial intelligence tool to indicate selection of health benefit schemes best suited to individuals; Jelly-Vision failed to deliver in the past,2-Jan,1,NA,"Elizabeth LaBenz, VP, Technical General Manager","HCL, Infosys, Atos",
,74,Conduent,TMT,Birlasoft,2/5/2019,Infra & Internal,Pro-active monitoring,Pro-active monitoring to ensure people resolve outages immediately; Provider should target selected clients to build portfolio in the space,4-Feb,2,"Ralph Lech, VP IT Solutions","Kevin Gahan, SVP IT Solutions",NA,
,75,Conduent,TMT,Birlasoft,2/5/2019,Infra & Internal,Maintenance support,"Maintenance support for infra services (servers, cloud connectivity, etc) for selected clients to reduce outages; Atos engaged in maintenance services for a while",10-Aug,8,"Ralph Lech, VP IT Solutions","Kevin Gahan, SVP IT Solutions","Microsoft, Amazon",
,76,Conduent,TMT,Birlasoft,2/5/2019,Infra & Internal,Salesforce integration,Integration of salesforce with employee e-mails & phones; internal teams in Conduent have been downsized and they are exploring vendors for outsourcing,3-Feb,2,NA,"Rajeev Rajagopalan, President, Managed Solutions","Deloitte, Infosys",
,77,Conduent,TMT,Birlasoft,2/5/2019,Public Healthcare,Inventory management,Supply chain data analytics to reduce stock run outs (currently ~15-20%) and estimate inventory requirement in advance,5-Apr,4,"Vinay Koneru, Technology Leader – Public Sector","Partha Deka, VP and Head – Managed Care","HCL, Hexaware, Infosys",
,78,Conduent,TMT,Birlasoft,2/5/2019,State Govt. Solutions,CSFS system development,"Development of customized systems for CSES (Child Support Enforcement Systems) in partnership with Conduent; Protech, the current vendor partner, has decided to bid alone",-70,30,"Mike Langenohl, GM, State & Local Solutions and Payment","Rahul Gupta, Chief Technology & Product Officer",T2/3 vendors with domain expertise,
,79,Conduent,TMT,Birlasoft,2/5/2019,Other opportuniti es,Automated Testing,Automation of testing for codes that are currently written by ~3000+ people internally,3-Feb,2,NA,"Ranjit Kumar, VP and GM Technology",NA,
,80,Conduent,TMT,Birlasoft,2/5/2019,Other opportuniti es,BI report writing in Tolling,BI report writing tools support in high value tolling bids won by Conduent; Provider will need 20-30 people with required expertise,4-Feb,2,"Manish Chourey, Director, Tolling","Roger Dashevsky, VP & GM Technology","Hexaware, Infinite",
,81,Conduent,TMT,Birlasoft,2/5/2019,Other opportuniti es,Data conversion competency centres,Develop data conversion capability centres to support in data conversion post contract wins from other vendors; Provider will need 30-35 people with required expertise,6-101,6,"Kalyan Peri, VP, Technology Services Roger Dashevsky, VP & GM Technology","Rahul Gupta, Chief Technology & Product Officer",NA,
,82,Baxter,Healthcare,Birlasoft,2/25/2019,,JDE Development,Wipro currently working on bringing into production new JDE code as part of JDE upgradation program,15-Oct,10,N/A,"Michael Hamill – VP, Infra & Cloud App Services",,
,83,Baxter,Healthcare,Birlasoft,2/25/2019,,Staffing CoE,Enhancing capabilities of Baxter’s in- house Centers of Excellence that focus on app and platform development (India and Mexico); WIPRO currently involved in staffing CoE but unsatisfactory performance,7-May,5,"Michael Hamill – VP, Infra & Cloud Services James Pacella – VP, IT Enterprise Arch",Paul Martin – SVP & CIO,,
,84,Baxter,Healthcare,Birlasoft,2/25/2019,,Supply Chain Systems Integration,"Integration of systems across ERP, JDE, and supply chain platforms such as AS400 to allow data flows and holistic view of value chain",4-Mar,3,Regional Directors,"Michael Hamill – VP, Infra & Cloud App Services Alan Freedlund – VP Global IT Mfg & Supply Chain",,
,85,Baxter,Healthcare,Birlasoft,2/25/2019,,Application Support,Provide services for support and maintenance of Baxter's Merlin application that is used for chemotherapy compounding,3-Feb,2,Mike Butler – Med Products R&D IT,"Marc T’Hart – VP, Commercial IT",,
,86,Baxter,Healthcare,Birlasoft,2/25/2019,,Remote Patient Monitoring,"Integrating IoT, D&A, and AI solutions to current ShareSource platform for Renal Care for remote monitoring systems to track patient vitals and provide analytics driven decisions on patient health – enabling connectivity of all installed (~800k) and future medical devices",15-20,15,"Teresa Murphy – Global Director, Business Analytics Mike Butler – Med Products R&D IT","Marc T’Hart – VP, Commercial IT",,
,87,Baxter,Healthcare,Birlasoft,2/25/2019,,AWS Maintenance,Maintenance of the AWS cloud platform post contract expiration with Onica (current vendor) in Sep-19,10-Jul,7,N/A,"Michael Hamill – VP, Infra & Cloud Services",,
,88,Baxter,Healthcare,Birlasoft,2/25/2019,,ERP Platform Rationalization," Platform rationalization and upgradation of ERP systems in Europe and Asia (owing high M&A activity in past years) like JDE, Warehouse Management Systems, etc.,",30-40,30,James Pacella – Advisor/Consultant Paul Martin – CIO James (Jay) Saccaro – CFO,"Michael Hamill – VP, Infra & Cloud App Services Alan Freedlund – VP Global IT Mfg & Supply Chain",,
,89,Baxter,Healthcare,Birlasoft,2/25/2019,,Smart Manufacturing,Integration of IoT and D&A tools in plant and machinery enable predictive maintenance across manufacturing processes; Peurto Rico and LATAM to be targeted initially,15-20 Per Plant,15,Regional directors – Peurto Rico and LATAM,Alan Freedlund – VP Global IT Mfg & Supply Chain,,
,90,Baxter,Healthcare,Birlasoft,2/25/2019,,Digital Supply Chain,D&A and digital solutions for supply chain optimization to reduce GTM timelines & effectively manage inventory to meet peak demand phases,15-Oct,10,All regional directors,Alan Freedlund – VP Global IT Mfg & Supply Chain,,
,91,Baxter,Healthcare,Birlasoft,2/25/2019,,ERP Platform Migration,Transition to more advanced enterprise solutions like SAP (starting with EMEA and APAC) from current JDE and others over 3-4 years; SAP made a $300 M proposal for migration over 7 years,40-50,40,James Pacella – Advisor/Consultant Paul Martin – CIO James (Jay) Saccaro – CFO,"Michael Hamill – VP, Infra & Cloud App Services Alan Freedlund – VP Global IT Mfg & Supply Chain",,
,92,Baxter,Healthcare,Birlasoft,2/25/2019,,Data Centre Management,"Management of small-scale data centers at manufacturing locations in Europe – including, security enhancement, OS upgrades, patching, hard-ware lifecycle management and standardizing operating procedures across locations. Data centers are currently managed by internal Baxter manufacturing IT",15-Oct,10,"Paul Rundle – Global Director, Data Centers","Michael Hamill –VP, Infra & Cloud Services",,
,93,Baxter,Healthcare,Birlasoft,2/25/2019,,Migration to AWS,"Migration of IBM data center in Colorado, USA and Equinix data center in Singapore to the AWS cloud platform",15-Oct,10,N/A,"Michael Hamill –VP, Infra & Cloud Services",,
,94,Baxter,Healthcare,Birlasoft,2/25/2019,,IT Infra Support,"IT support and migration for existing IBM data center in Colorado (USA) and migration to an Equinix Data Center in Frankfurt, Germany'",5-Mar,3,N/A,"Michael Hamill –VP, Infra & Cloud Services",,
