empty,field_expert_fullname,field_expert_affiliation,field_expert_study,field_expert_contact_point,field_expert_joined_ideation,field_expert_designation,field_expert_description,field_expert_primary_at,field_expert_primary_vt,field_expert_image
,Antony D'Cruz,External,LTI - Aspire ++; Infosys,Abhay Mital,Y,"Ex-CIO, Batteries, Head of NA IT systems, JCI",,Johnson Controls,Manufacturing,
,Raj Penkar,External,Wipro,Himanshu Pandey,Y,"Ex-President of Customer solutions, UPS",Reverse logistics (joined end client meeting),,CPG,
,Robert Soderbery,External,LTI - Aspire ++,Abhay Mital,N,"Cisco, Leader of Enterprise Business;
Veritas, SVP of Product",,Cisco,TMT,
,Arvind Sankaran,SA,LTI - Aspire ++; Infosys,Abhay Mital,Y,"Senior Advisor, McKinsey;
Former Head of Premier International",Retail Banking and Wealth Management at HSBC;,Citigroup,Banking,
,Rohan Anchan,External,LTI - Aspire ++,Abhay Mital,N,"Former CIO (Asia), Allied World",,Fairfax,,
,Ruth Heuss,Internal,LTTS,Abhishi Bhatia,Y,"Partner, Berlin, McKinsey","Partner, Germany",Auto,Auto,
,Felix Kalkum,Internal,LTI - Aspire ++;  Infosys,Abhay Mital,Y,"Associate Partner, Cologne, McKinsey",Has expertise designing and strategizing legacy modernization efforts across multiple clients,Daimler,Manufacturing,
,Johannes Deichmann,Internal,LTI - Aspire ++; Infosys,Abhay Mital,N,"Associate Partner, Stuttgart, McKinsey","Leader in German Auto Digital space;he focuses on digital strategy, software development/strategy, IT architecture, due diligences, and delivery of large transformation programs and established a deep knowledge on E/E and software architecture in vehicles, which is also reflected in his articles published through McKinsey.",Daimler,Manufacturing,
,Timo Moller,Internal,LTTS,Abhishi Bhatia,Y,"Expert partner, Cologne, McKinsey","Senior Expert, Germany",Auto,Auto,
,Shannan Stevenson,SA,Wipro; Infosys,Himanshu Pandey,Y,"Senior Advisor, McKinsey","Ex-Head of P&G in China, Egypt etc",P&G,CPG,
,Jim Dubois,External,Wipro; Infosys,Purushotam Jawahrani,Y,"Ex-CIO, Microsoft","Jim is the ex-CIO of Microsoft
Jim led global IT, overseeing security, infrastructure, and business applications for all of Microsoft, supporting product groups, corporate groups, and the global sales and marketing organization",Microsoft,TMT,
,Scott Ham,SA,Infosys,,N,"Senior Advisor, McKinsey",Former Transamerica Life ,Allstate,Insurance,
,Abhijeet Mahindroo,SA,,,,"Senior Advisor, McKinsey",Mckinsey,Cisco,,
,Vik Atal,SA,Infosys,,Y,"Senior Advisor, McKinsey","ex-Chairman Citi Cards, Board member Goldman Sachs",Citigroup,Banking,
,Achilles Young ,External,,,,"Senior Manager, Sustaining and Process Engineering, Medtronic Usa, Inc","Achilles Young is currently Director of Global Supplier Development for a $800 million global Respiratory Solutions company. Prior, from March 2015 until May 2016 Mr. Young was Operations Engineering Director at Cepheid, Inc. Cepheid is a molecular diagnostics company based in the U.S. specializing in the detection of infectious diseases. Mr. Young and his team reliably supported 24/7 high volume production while spearheading transformational cultural changes and operational improvements that resulted in over $4M million in annualized savings. Prior, from 2009 - 2015, Mr. Young was Senior Manager of Sustaining and Advanced Manufacturing Engineering at Covidien Neurovascular, a global leader in stent and coil medical devices. He collaborated with Quality, Regulatory, R&D, Marketing departmental managers to transfer in 3 new technologies via acquisition and release several next generation products while supporting class III classification production. One of the campaigns initiated by Achilles and a core team for managing operational complexity received the 2014 Global Quality Award for all of Covidien. Mr. Young has held positions of both technical and people leadership which include experience at TherOx (a small startup in Irvine, CA), Medtronic PS Medical and Baxter Healthcare. Mr. Young is an high-energy, enthusiastic, and accountable individual who excels in challenging and complex environments recognized for strong problem solving, collaboration, and project management skills, ingenuity, and quality.",Covidien,,
,Abhay Prasanna,Internal,Infosys,,Y,"Associate Partner, Cleveland, McKinsey","Leader in our Global Energy and Materials practice having served a broad range of major U.S. companies across the energy sector on topics of digital, procurement, operations, and spend control, and has experience in upstream oil & gas as a completions engineer at Baker Hughes ",Exxon,EPNG,
,Adnan Ashfaq ,External,,,,"Former Senior Quality Engineer, Covidien Healthcare Holding UK Ltd ","Adnan Ashfaq is Consultant at Pharmi Med Ltd. He worked as Validation Specialist with over 13 years of validation experience in Medical Device, Biotech and Pharmaceutical industries. Validation experience covered building facilities, packaging, bottling, labeling, software, water, utilities, equipment, protocol preparation, execution, man management, validation plan, policy write ups, contractor management full facility validation, training roll out in several companies. gap analysis, and process improvements using lean tools and six sigma, use of sampling plan analyzer and minitab software tools. Mr. Ashfaq’s specialties includes medical device, pharma and biotech.",Covidien,,
,Abhyuadaya  Srivastava,Internal,Infosys,,Y,"Partner, Singapore, McKinsey",Abhy is a Partner in the Singapore office of McKinsey & Company and leads our Internet of Things practice for South East Asia serving multiple clients across users and providers in IoT-led business building or transformations,TMO,TMT,
,Ajay Agrawal,External,,,,"Rotman School of Management, University of Toronto - Professor",, ,Cross-industry,
,Aditya Menon,External,Infosys,,Y,"Ex-Digital strategy head, Citibank",Author of “Bank of the future” report by Citi,Citigroup,Banking,
,Alan Doty ,External,,,,"Former Global Vice President for Manufacturing, Covidien Inc","Alan Doty, Principal of Doty and Associates Consulting, LLC, which is a manufacturing and business consultant skilled at assessing an operation against best practices, aligning operational strategies to business strategies, evaluating and implementing outsourcing projects, and developing and implementing the improvement plans required to gain a competitive advantage. He is well versed in a variety of Continuous Improvement processes including Lean Manufacturing and Six Sigma. Mr. Doty clients include Covidien (precision surgical staplers and suture), DeVilbiss HC (oxygen concentrators and CPAP machines) and OmniGuide (high performance surgical lasers). Prior to starting a consulting practice, Mr. Doty was the Vice President of Global Manufacturing for the Surgical Devices Unit of Covidien, a leading $10 billion global healthcare products company. In this position, he had overall responsibility for nine worldwide manufacturing facilities located in Connecticut, Puerto Rico, Santo Domingo, UK, France, Brazil, South Africa, and Massachusetts. The plants and corresponding support functions total 5,800 employees and manufacture multiple types of surgical devices including staplers, suture, adhesives, sealants and mesh. Mr. Doty joined Tyco in October, 2001 as Site Director for the St. Louis facility in the Pharmaceutical business unit. Prior to Tyco, he was Vice President of Manufacturing for Great Lakes Chemical Co., a producer of specialty chemicals and high performance polymer additives. Earlier in his career, he held various manufacturing and engineering positions in the chemicals and plastics industries at American Cyanamid, Tupperware, and Johnson and Johnson. Mr. Doty is a Chemical Engineer from Rensselaer Polytechnic Institute and a licensed Professional Engineer in the state of New Jersey.",Covidien,,
,Adrian Gauch,Internal,Infosys,,N,"Associate Partner, New York, McKinsey",Leader in McKinsey’s RTS practice ,Johnson Controls,Auto,
,Al Sedghi,External,Infosys,,Y,"Ex-Chier Enterprise architect, AT&T; current CTO, GlobalNet Research","Al led development and deployment of mobile IoT, video recording, streaming, collaboration, content management and distribution including the OTT service DirecTV Now",TMO,TMT,
,Alejandro Garza,External,Infosys,,Y,"Ex-senior finance manager, Microsoft",Alejandro is the ex-finance manager and brings a perspective on the opex & capex spend of key stakeholders within Azure,Microsoft,TMT,
,Alex Ditcher,Internal,LTTS,Saurabh Batra,Y,"Senior Partner, London, McKinsey","Senior Partner, London",,Aerospace,
,Alex Moradi ,External,,,,"Former Global Supply Ops Manager, Cisco Systems ","Alex Moradi currently serves as the Senior Director of Global Sourcing at Greenwave Systems, a global Internet of Things (IoT) software and servicing company whose disruptive model enables category-leading brands to quickly and profitably deploy managed services. Prior to this role, Mr. Moradi served as the Global SCM of Belkin International, (2013-2014) and as the Global Supply Operations Manager at Cisco from 2007-2013. Alex Moradi has worked closely with manufacturers in China, and can speak about the shift many factories are making from labor to automation, with wireless technology allowing real time data to be captured. He is familar with leaders in the IoT space such as Cisco, Rockwell Automation and GE, and can speak to a variety of topics related to IoT, supply chain, process improvement, lean manufacturing, outsourcing, strategic sourcing and more.",Cisco,,
,Alessio Botta,Internal,Infosys,,Y,"Partner, Milan, McKinsey",Alessio is a commercial/corporate banking Tech expert from the McKinsey Milan office,RBS,Banking,
,Alex Brotschi ,Internal,Infosys,,N,"Knowledge expert, McKinsey",Mckinsey experts on Automotive aftermarket industry.,Toyota,Manufacturing,
,Alexander Grant,External,Infosys,,Y,"Ex-Head of Technolgy, Functions and Services, RBS",Alex Grant reported to the Global CIO and was accountable for the full range of Technology services for a diverse range of business units and functions ,RBS,Banking,
,"Alexander Stojanovich
",External,Infosys,,Y,"Founding Vice President, CTO, and Chief Architect for the Cisco Cognitive"," Computing and Real-time Analytics SaaS portfolio and reported directly to Cisco’s SVP/GM of IoT, Collaboration, and Analytics as member of the leadership team",Cisco,TMT,
,Altran,External,,,,"Altran – Former Deputy CEO, Programs & Innovation",,Intel,,
,Alfred Katzenbach,External,Infosys,,Y,"Ex-Director, IT Engineering, Daimler","Presently working as an independent comsultant to all major auto OEMs in Germany, Alfred was formerly responsible for IT as part of the R&D Department for 10 years; left Daimler in 2013.",Daimler,Auto,
,Amrit Kirpalani,External,,,,NectorOM – External Advisor,, ,CPG; Healthcare; TMT,
,Ali Sankur,Internal,Infosys,,N,"Expert, Chicago, McKinsey",Expert on Digital supply chain,P&G,CPG,
,Anastassia Lauterbach,External,,,,"Dun & Bradstreet – Chair Tech & Innovation committee; 
Qualcomm – SVP; 
Deutsche Telekom – SVP Business Development, Acting Chief Products & Innovation Officer",, ,TMT,
,Amar Ghai,Internal,Infosys,,N,"Expert AP, Philadelphia, McKinsey","Former SVP at TD Bank in the US, was the Head of Digital and Tech for US Fintech and also the Head of Payments",American Express,Banking,
,Andrea Florkova ,External,,,,"Former Supply Chain Manager, Continental Automotive Gmbh ","Andrea Florkova was Logistics Director at DOXX Mineral s.r.o. (2013 - 2014), Žilina, Slovakia. Here she was responsible for Planning, management and control the logistics processes, activities and objectives and Management and control of material flow in production and warehouses, set up of logistics processes and optimization of delivery routes, coordination of loading and unloading of products. Prior to this she was Supply Chain Manager at Continental Automotive Czech Republic (2012 - 2012). She was Supply Chain & Logistics Manager at Valeo (2010 - 2011). Valeo is an automotive supplier, partner to all automakers worldwide. Mrs. Florkova was Logistics Manager at Kia Motors Slovakia (2005 - 2010).",Continental,,
,Andrzej Teplicki ,External,,,,"Former Project/Program Manager, Cisco Systems, Inc.","Andrzej is currently VP of Strategic Relationships with OnSwitch a solar developer start up. Andrzej is also an independent supply chain and operations consultant/executive with extensive experience in global end-to-end supply chain operations and strategy. Previously, Andrzej was Director of Supplier Management with KLA-Tencor (August 2013-Sept 2015) where he led the procurement, strategic sourcing/commodity management and escalations teams for KLA-Tencor Global Services organization and was responsible for supplier relationship management, including contract negotiation, cost reduction/optimization initiatives and supplier relationship development. Implemented numerous procurement efficiency improvements, business process optimization, and organization effectiveness initiatives. Andrzej was also formerly Program/Project Manager (contract) with Cisco Systems (March 2013-July 2013), Senior Director, Global Supply Chain Planning with SunPower Corp (Nov 2008-Sec 2012), and Director, Transaction Services - Operational Due Diligence with KPMG (Jan 2008-Nov 2008).",Cisco,,
,Ananya,Internal,Infosys,,N,"Associate, McKinsey",Ananya is currently a member of our smart cities team and has authored multiple case studies on Smart cities and campuses. ,Microsoft,TMT,
,André Jerenz,Internal,Infosys,,N,"Associate Partner, Hamburg, McKinsey",McKinset digital AP with vast experience in running tech simplification programs,RBS,Banking,
,Andy Qin,External,Infosys,,Y,"Ex-product management, AWS",Andy brings the perspective of the cloud market and how AWS is looking at priorities for the future,Microsoft,TMT,
,Aneesh Kumar ,External,Infosys,,N,"Former VP, Enterprise Product Solutions, Cigna; Head, Consumer Engagement Strategy, Aetna ",,Aetna,Healthcare,
,Anis Khan,External,Infosys,,N,"Founder, CEO, Innovita Partners; Ex VP, Capgemini",Anis has significant experience in leading large deals in the BFSI sector,Novartis,Healthcare,
,Anosh Thakkar,External,Infosys,,Y,"Shell – Group DCO; 
Philips – Group CTO","
Anosh is a former Chief Digital Officer at Shell. At Shell his focus was on Digital Strategy, building technical capabilities in Digital Technologies and running the digital transformation ",Exxon,Energy (incl Oil & Gas); Mining; Healthcare; TMT; Industrial,
,Anthony Ng ,External,,,,"Engineering Manager, Medtronic Plc","You know how telecommunications and life-support medical device businesses are always looking for hands-on engineering leaders who could tie all the moving pieces together and make things happen within tight schedule and limited budget? I do. I accomplish this by applying my 20+ years of industry experience in successful product development and by hiring and leading the best engineers. I crave a good design and development challenge that could create the next-gen killer product, adding tremendous value to the customer and increase the bottom line of the companies I work for. I have generated significant savings for my employers by overseeing and solving technical and project management problems before they could snowball into major problems. I love the thrill of keeping up with the busy communication and hectic development tidbits and turning them into clear directions and vision for functional teams worldwide. I love to design and oversee complex PCB and IC hardware and write firmware/software as much as to scrub BOM to minimize COG and to tackle contract manufacturing problems to hit the target profit margin or ship date. I keep my cool under pressure and have always been someone people can rely on and who can build and lead strong teams to deliver results in tight deadlines. It is my strong analytic skills, coupled with strong strategic skills, that enables me to beat the odds and deliver great products over and over again.",Covidien,,
,Alexis Nasard,SA,,,,"Senior Advisor, McKinsey",,P&G,,
,Anthony D'Cruz,External,Infosys,,N,Business unit CIO – Batteries and Head of IT North America-Building systems ,,Johnson Controls,Manufacturing,
,Anthony Maiello,External,Infosys,,N,Former CTO – Sabre,"- Anthony was responsible for leading teams across 3 major software development centers across all of Sabre's P&L's. He delivered technology platform transformation roadmap - Responsible for transforming from TPF to the current technology (open systmes), also implemented TPF and zTPF while there",American Express,Banking,
,Art Howarth ,External,,,,"Former Senior Director of Engineering, Cisco Systems, Inc","Art Howarth has over 20 years' experience in the telecommunications space across a diverse set of technologies and market areas. He is President of NetAspirin, a boutique technology & advisory firm, and an ad hoc advisor to Epiphan Systems. Art works with the Canadian venture and technology communities and top tier universities to develop, mature and deliver innovative technologies. Art held various positions at Cisco Systems for over 19 years, including: Senior Director Engineering; Director Architecture, Video & Collaboration Group; Director, Corporate Development Technology Group; Principal Engineer, Technology Center; Senior Engineering Manager, Technology Center; and Technical Marketing Manager for the Service Provider Line of Business. He originally joined Cisco as an Engineer in the Access Business Unit. Prior to joining Cisco, he was with Eicon Technologies, based in Montreal, for 4 years and was the Technical Services Manager, Novell Business Unit. Art's ardor for IoT/IoE comes from numerous years of combining the right technology with working business models. Art has customer partnerships with Fortune 100 companies in the retail, manufacturing (process and discrete), oil & gas, mining, aerospace and pharmaceutical markets. He has partnered with long-established manufacturing systems vendors and innovative sensor and RF vendors. He has evaluated and executed multiple investments in the IoT space. Art was the leader of Cisco's Corporate Development Technology group. He has participated in over 75 acquisitions and over 100 investments. His group was responsible for technical due diligences for acquisitions, investments and intellectual property evaluations; technology strategy and investment portfolio technology extraction. Art has been involved in standards activities in numerous technologies including ISA SP-100, EPCGlobal, MPEG and IETF. He holds 23 patents of which 9 are in the IoT space. Art has worked on a varied set of technologies that include Streaming Audio and Video, Broadcast Video over IP, Voice over IP, Real time Collaboration, Virtualization and Cloud Computing, Home Networking, dial/ISDN and cable/DSL networking and SNA/APPN networking. Currently he is actively working on IoT/IoE and Cloud NFV/SDN technologies and solutions for the Small & Medium business market. Art holds a Computer Science degree from Concordia University.",Cisco,,
,Arthur Johnson ,External,,,,"Former Regional Vice President, Medtronic, Inc.","Since August 2013, Arthur Johnson has been Executive Vice President at Infinity Systems, Inc. (ISI), a management consulting firm. Previously, Mr. Johnson worked for Medtronic, a medical technology company, as Regional Vice President from April 2008 to August 2013. In this position, Mr. Johnson led cardiovascular businesses and partnered with executive teams to define, forecast, implement, and execute sales strategies. A major accomplishment in the role of Executive Vice President at ISI has been the creation of Orgametrics, a diagnostic tool that quantifies the degree to which employees of a company bought into its missions and values. Mr. Johnson has Bachelor of Science in Marketing from Drake University, a Masters in Business Administration and Management from the University of St. Thomas, and attended an Executive Development Program at the Wharton School of Business.",Covidien,,
,Anu Brookins,External,Infosys,,N,"Leader of digital continuous improvement, Cisco","Anu led the strategy on process automation to effectively simplify, digitize and automate processes within Cisco",Cisco,TMT,
,Arun Athreya (Ramasubramanian),External,Infosys,,Y,"Ex-Senior VP, UnitedHealth Group","In UNH role, he was responsible for IT infrastructure development and design, leading UNH's Solution, Data, and Business Architecture, designing and overseeing the company's Big Data strategy, and evaluating UNH's cloud data plan options",Aetna,Healthcare,
,Ashley Van Heteren,Internal,Infosys,,N,"Expert AP, Amsterdam, McKinsey","McKinsey digital expert, with deep expertise in digital solutions in PMP, especially in the commercial function",Novartis,Healthcare,
,Asif Iqbal,External,Infosys,,Y,"Director – Digital development and innovation, T-Mobile","Asif was accountable for leading teams across geographies for delivery and operations to T-Mobile’s digital channels (i.e. Web, mobile apps, IoT, and CX InnovationLab)",TMO,TMT,
,Bart Brevik ,External,,,,"Former Sr. Engineering Manager, Medtronic Plc","Bart Brevik is currently the Senior Manufacturing Engineering Manager for New Product Development at Endologix, a developer and manufacturer of minimally invasive treatments for aortic disorders. They specifically specialized in the development of an endovascular stent graft for the treatment of abdominal aortic aneurysms, which is the weakening of the wall of the aorta, the largest artery in the body, resulting in a balloon-like enlargement. Bart is skilled in the development life cycle for coronary medical device manufacturing, with emphasis on completing filing deliverables, process and tooling development, yield improvement, and ergonomics. He is experienced in identifying and implementing cost reduction and manufacturing efficiency improvements. Previously, he worked at Medtronic as a Senior Engineering Manager, and was responsible for manufacturing scale-up, yield improvement, cost reduction, and new product transfer to production for Glucose Sensor assembly and Glucose Sensing Transmitters/Receivers in the Continuous Glucose Monitoring (CGM) business unit. He also was with Abbot Vascular Innovation Center from 2006 until 2013 as a Manufacturing Engineering Group Leader. There he led an engineering team of 21 engineers and technicians to support development activities of XIENCE V Everolimus-Eluting Coronary Stent System. He led the startup and operation of the largest DES manufacturing suite in the company, including hiring key talent, qualification of equipment and the line verification, etc.",Covidien,,
,Barry Couper,External,Infosys,,N,"Former IT Director - Managed Partner Services, Tmobile","Barry managed vendor relationship and IT management direction for 5 managed service providers, supporting application services for all billing platforms (postpaid, prepaid, new brands, and wholesale / IoT), SAP, Customer Care, Job Scheduling, File Transfer and miscellaneous other applications",TMO,TMT,
,Baryard Gennert,Internal,Infosys,,N,"Analytics Expert, Mineapolis, McKinsey","Analytics Senior Expert, McKinsey",Allstate,Insurance,
,Ben Ellencweig,Internal,Infosys,,Y,"Partner, Stamford, McKinsey",Ben is an expert in the automotive captive finance industry and serves multiple captive auto finance companies across a range of topics,Toyota,Auto,
,Bob Sternfels,Internal,,,,"Senior Partner, San Francisco, McKinsey",Senior Partner (served Avaya),Cisco,,
,"Boehm, Rodger",SA,,,,"Senior Advisor, McKinsey",DCS for Eaton Studies,Eaton,,
,Bill Corrigan,Internal,Infosys,,Y,"Senior Expert, Boston, McKinsey","Senior expert on IoT, Mckinsey and Company",Toyota,Auto,
,Brajabhusan Panda,Internal,Infosys,,N,"Digital Expert, McKinsey","Braj has 15 years of experience in IT services. At McKinsey, he has worked on several engagements on DevOps",Novartis,Healthcare,
,Brian Gore,External,Infosys,,Y,"Former Director of Strategy, Allstate","Former Director of Strategy, Allstate",Allstate,Insurance,
,Brigitte Nijs ,External,,,,"Former section head, R&D, P&G","Dr. Brigitte Nijs recently retired from Procter & Gamble where she worked for 29 years. Her last role was as a Manager/Section Head in Research & Development. During her career at P&G she led different developments on products as well headed global packaging developments for fruit beverages and hygiene products. In this function she worked on barrier films (different types for different applications), and various other technical initiatives. She has a PhD in Chemistry and is currently acting as an individual technical consultant and business coach.

",P&G,,
,Brian Loh,Internal,Infosys,,Y,"Partner, Detroit, McKinsey","Brian is a leader in McKinsey’s automotive practice wherein he has 10+ years of deep experience serving leading Automotive clients and commercial vehicle clients in the US on strategy, operations and digital transformation topics",Toyota,Manufacturing,
,Chakravarthy Sampath Naryanan ,External,,,,"Director, Arcishmaan Elements; 
Former performance management leader, Shell","Chakravarthy Sampath Naryanan is a Global Oil & Gas expert with an established nose for Upstream & Downstream Business Profitability, Cost and Operational efficiency. He has two decades of industry experience across Asia, Middle East and Europe marshaling multi-cultural and cross-functional teams for exceptional results in Shell and other leading International Oil & Gas companies. 

He shared that he can speak to typical spend on IT/IoT, how capabilities are retained internally vs. how much is outsourced and noted that he can speak to some of the main competitors. 

He can discuss opportunities for outsourced vendors in ""real time analytics, mobility, IOT, and Engineering Analytics, as well as information management and asset protection",Royal Dutch Shell (Shell),,
,Carol Bartucci,External,Infosys,,N,"Former CIO, ComEd, Exelon",Carol was responsible for overseeing and coordinating IT activities across ComEd,Exelon,EPNG,
,Charles Ng ,External,,,,"Former Supply Base Manager, Deere & Company ","Charles Ng is a Global Director, Procurement at Laguna Tools, manage supplier relationship, improve supplier quality, delivery, value, and new product development. And a Supply Base Manager at John Deere, a position he held from November 2010 until March 2015. There he was responsible for monitoring and driving improvement in supplier performance, managing supplier relationships and negotiations, cost reduction, and strategic sourcing. Formerly, he was a Cost Management and Manufacturing Engineer at John Deere from September 2006 until October 2010. In this role he led cost management activities in the product development team and provided negotiation tools and led negotiations as requested. From December 2002 until September 2006 he was a Manufacturing Engineer at Honeywell Safety Products. Mr. Ng earned a bachelor's degree from Iowa State University and an MBA from Western Illinois University.",Deere & Company,,
,Chandrasekhar Panda,Internal,Infosys,,N,"Digital expert, Abu Dhabi, McKinsey",specializes in Digital Platform enterprise architecture and designed high-performance enterprise applications,American Express,Banking,
,Charlie Martin,External,Infosys,,Y,"Former Director, Cisco Advanced Services","Charlie worked with Cisco for 12 years, serving most recently in the role of Director Advanced Services. Led strategic customer delivery engagements, overseeing the planning and execution with a portfolio value in excess of $750M Managed the $75M annual improvement portfolio for Cisco’s Services ordering and partner management processes",Cisco,TMT,
,Chris Kuo,External,,,,Former Logistics Manager,"Mr. Chris Kuo is a logistics and supply chain professional. He began is career as a warehouse receiving/loading crew with Morrison Express/Los Angeles, then transferred to operation with another freight forwarder in 1989. He transferred to Morrison Express accept in 1990 as their air/ocean operation agent and inside sales manager. He then moved on to station manager for S.E.S. & Solex Express in San Francisco between 1995 to 1999 and then to PCE/Foxconn Technology in Austin, Texas in 1999. From 2000 to 2006 he worked for Asus Computer where he communicated customer's forecast, demand fluctuation and factory production schedule for ""just in time"" supply, handling major component supply issues that effected long term planning. In 2007 he began work with Linksys/Cisco logistics, enabling him to come full circle regarding supply chain operations. Chris worked with Linksys managing their customer advocate team to handle the end customer return products, taking care the repair/repackage/repurpose process, managing inventory and EOL products control, and all aspects of transportation need for this part of operation",Cisco,,
,Chris Bowman,External,Infosys,,Y,"Director of Customer Success and Service Delivery, Cisco","Chris worked with Cisco for 13+ years, serving most recently in the role of Director Customer Success and Service Delivery. Led global organization supporting 1,200 + new customers totaling $150M in direct bookings in FY 18. He launched and built Cisco's award-winning IoT Asset Management Subscription Service",Cisco,TMT,
,Chris Wilson,External,Infosys,,Y,"Head of New Business, Ventures and Emerging Tech, ANZ ","At ANZ, Chris focused on developing and implementing digital growth strategies including new operating models, innovation programs and developing new businesses either organically or via VC or M&A activity",ANZ Bank,Banking,
,Christoph Kuntze,Internal,Infosys,,Y,"Partner, Miami, McKinsey",Expert on Digital supply chain,P&G,CPG,
,Chuck Myrick,SA,Infosys,,N,"Senior Advisor, McKinsey","deep enterprise experience implementing cloud-based platforms such as Salesforce.com, with areas of specialty including program governance, data architecture, integration, and advanced analytics.",Daimler,Manufacturing,
,Clayton O’Toole,Internal,Infosys,,Y,"Associate Partner, Sydney, McKinsey","Clayton is an Associate partner based in Sydney. Clayton is a leader of McKinsey’s Strategy & Corporate Finance practice, specialising in digital strategy and disruption in consumer-facing sectors such as banking, retail and media",ANZ Bank,Banking,
,Colin Regnier,Internal,Infosys,,Y,"Associate Partner, Stamford, McKinsey",Expert on Digital supply chain,P&G,CPG,
,Collin Cole,Internal,Infosys,,N,"Associate Partner, Dallas, McKinsey",Collin is a expert AP as part of the digital design practice,Exxon,EPNG,
,Dan Fleming,Internal,Infosys,,N,"Knowledge expert, Chicago, McKinsey",Mckinsey experts on Automotive aftermarket industry.,Toyota,Manufacturing,
,Dan Mo,External,Infosys,,Y,"Former Sr. Manager, Cloud, IoT and AI programs, T-Mobile","In his most recent role, Dan led a 100 person cross-company team with 4 international partners such as Rogers, Telefonica, Gemalto and Wyless/Kore to successfully deliver an industry-first, large scale & global IOT program, the eSIM solution encompassing devices, network and backend cloud and data analytics platform. ",TMO,TMT,
,Dan Pastrick ,External,,,,"Former Senior Engineering Manager, Medtronic, Inc","Mr. Dan Pastrick is an operations and engineering professional with 15+ years of experience in the Medical Devices field. In his most recent position as Senior Engineering Manager at Medtronic (2010 - 2014) where he focused on Spine Biologics only. Mr. Pastrick managed new product development introductions from R&D through validation, defined and implemented solutions for medical device product lines for process opportunities, and supported production via timely completion of Non-conformance reports and by using six-sigma techniques. Prior to MDT, Mr. Pastrick has held Executive, Senior, and Middle Management positions in Operations & Engineering for Orthopedic, Spine, and Dental products. He has worked in both large public name brand companies and smaller private entities. He has also directed OEM Ops/Eng manufacturing efforts in silicone molding, extrusions, assemblies, and plastic injection molding",Covidien,,
,Dan Nistor,External,Infosys,,Y,"Former VP and CCO, Coca-Cola East Japan Co. Ltd. 
","Responsible for commercially viable strategy development and implementation with regards to revenue growth, marketing and supply chain management and distribution 
",Coca-Cola,CPG,
